StationName,ObservationDate,Year,Precipitation,PrecipitationRank
DETROIT CITY AIRPORT MI US,00:00.0,1982,1.66,4
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1982,0.58,30
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1983,0.5,85
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1983,0.57,31
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1983,0.48,50
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1983,0.49,90
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1983,0.84,21
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1983,1.29,40
DETROIT CITY AIRPORT MI US,00:00.0,1983,1.53,8
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1983,1.98,87
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1983,0.51,81
PHILADELPHIA INTERNATIONAL AIRPORT PA US,00:00.0,1983,1.56,28
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1983,0.5,85
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1983,0.48,50
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1983,0.46,57
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1984,1.92,99
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1984,1.57,58
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1984,1.3,99
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1984,1.7,64
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1984,1.98,87
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1984,1.34,89
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1984,1.57,58
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1984,0.56,59
DETROIT CITY AIRPORT MI US,00:00.0,1985,1.95,2
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1985,1.48,70
BOSTON MA US,00:00.0,1985,2.03,80
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1985,2.37,32
DETROIT CITY AIRPORT MI US,00:00.0,1985,1.25,22
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1985,2.1,65
DETROIT CITY AIRPORT MI US,00:00.0,1985,1.04,53
DETROIT CITY AIRPORT MI US,00:00.0,1985,1.02,55
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1985,1.39,82
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1985,0.58,57
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1986,0.56,59
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1986,0.63,42
SAN FRANCISCO INTERNATIONAL AIRPORT CA US,00:00.0,1986,0.62,20
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1986,1.37,83
DETROIT CITY AIRPORT MI US,00:00.0,1986,0.93,70
DETROIT CITY AIRPORT MI US,00:00.0,1986,0.84,90
WASHINGTON REAGAN NATIONAL AIRPORT VA US,00:00.0,1986,1.17,63
DETROIT CITY AIRPORT MI US,00:00.0,1986,1.26,20
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1986,1.5,76
CHICAGO MIDWAY AIRPORT IL US,00:00.0,1986,1.3,98
LOS ANGELES INTERNATIONAL AIRPORT CA US,00:00.0,1986,0.48,99
ATLANTA HARTSFIELD INTERNATIONAL AIRPORT GA US,00:00.0,1987,1.32,94
DETROIT CITY AIRPORT MI US,00:00.0,1987,1.32,19
MIAMI INTERNATIONAL AIRPORT FL US,00:00.0,1987,1.95,94
